T,Strike,Volatility,PRICE
0.119 ,999.563 ,0.179 ,4.980 
0.119 ,999.563 ,0.191 ,12.900 
0.119 ,999.563 ,0.226 ,25.260 
0.119 ,999.563 ,0.234 ,33.720 
0.119 ,999.563 ,0.233 ,39.720 
0.238 ,1047.162 ,0.196 ,1.190 
0.238 ,1047.162 ,0.199 ,5.090 
0.238 ,1047.162 ,0.224 ,12.910 
0.238 ,1047.162 ,0.231 ,19.740 
0.238 ,1047.162 ,0.230 ,24.910 
0.357 ,1094.760 ,0.220 ,0.350 
0.357 ,1094.760 ,0.211 ,2.050 
0.357 ,1094.760 ,0.224 ,6.170 
0.357 ,1094.760 ,0.230 ,10.990 
0.357 ,1094.760 ,0.229 ,14.990 
0.476 ,1142.358 ,0.239 ,0.110 
0.476 ,1142.358 ,0.223 ,0.870 
0.476 ,1142.358 ,0.225 ,2.800 
0.476 ,1142.358 ,0.230 ,5.880 
0.476 ,1142.358 ,0.229 ,8.790 
0.595 ,1189.956 ,0.250 ,0.030 
0.595 ,1189.956 ,0.233 ,0.340 
0.595 ,1189.956 ,0.227 ,1.240 
0.595 ,1189.956 ,0.232 ,3.090 
0.595 ,1189.956 ,0.230 ,5.010 
